,date,country,region,unemployment_rate,vacancy_rate
65,01.01.19,France,Continental,8.7,0.934826203
66,01.04.19,France,Continental,8.4,0.912347663
67,01.07.19,France,Continental,8.3,0.928853089
68,01.10.19,France,Continental,8.3,0.910302546
69,01.01.20,France,Continental,7.9,0.755108183
70,01.04.20,France,Continental,7.2,0.422710319
71,01.07.20,France,Continental,8.9,0.687081919
72,01.10.20,France,Continental,8.2,0.709231749
73,01.01.21,France,Continental,8.1,0.756077117
74,01.04.21,France,Continental,8,0.892803523
75,01.07.21,France,Continental,7.9,0.962742176
76,01.10.21,France,Continental,7.5,1.072066116
77,01.01.22,France,Continental,7.3,1.139373624
78,01.04.22,France,Continental,7.5,1.09683341
79,01.07.22,France,Continental,7.3,1.090290722
80,01.10.22,France,Continental,7.2,1.09634226
81,01.01.05,Romania,Eastern,7.9,0.709527819
82,01.04.05,Romania,Eastern,7.4,0.68645252
83,01.07.05,Romania,Eastern,6.5,0.702664941
84,01.10.05,Romania,Eastern,6.8,0.70393029
85,01.01.06,Romania,Eastern,7.3,0.740196665
86,01.04.06,Romania,Eastern,7.2,0.729231548
87,01.07.06,Romania,Eastern,7.3,0.75680758
88,01.10.06,Romania,Eastern,7.2,0.846877971
89,01.01.07,Romania,Eastern,6.6,0.893599928
90,01.04.07,Romania,Eastern,6.7,0.908029066
91,01.07.07,Romania,Eastern,6.2,0.90572643
92,01.10.07,Romania,Eastern,6.1,0.967631564
93,01.01.08,Romania,Eastern,5.9,0.979283136
94,01.04.08,Romania,Eastern,5.8,0.946754623
95,01.07.08,Romania,Eastern,5.6,0.864847295
96,01.10.08,Romania,Eastern,5.8,0.747556029
97,01.01.09,Romania,Eastern,8.1,0.659897897
98,01.04.09,Romania,Eastern,8.2,0.498300478
99,01.07.09,Romania,Eastern,8.6,0.397608129
100,01.10.09,Romania,Eastern,8.8,0.276096617
101,01.01.10,Romania,Eastern,9.4,0.31610557
102,01.04.10,Romania,Eastern,9,0.289908985
103,01.07.10,Romania,Eastern,8.9,0.283634872
104,01.10.10,Romania,Eastern,8.7,0.289083754
105,01.01.11,Romania,Eastern,9,0.306540843
106,01.04.11,Romania,Eastern,9.1,0.323744215
107,01.07.11,Romania,Eastern,9.1,0.323648713
108,01.10.11,Romania,Eastern,9.2,0.312006031
109,01.01.12,Romania,Eastern,8.8,0.300546458
110,01.04.12,Romania,Eastern,8.7,0.299008811
111,01.07.12,Romania,Eastern,8.8,0.310119801
112,01.10.12,Romania,Eastern,8.7,0.320611111
113,01.01.13,Romania,Eastern,8.8,0.339779826
114,01.04.13,Romania,Eastern,9.2,0.371287261
115,01.07.13,Romania,Eastern,8.9,0.393047843
116,01.10.13,Romania,Eastern,8.9,0.417587025
117,01.01.14,Romania,Eastern,8.6,0.447110599
118,01.04.14,Romania,Eastern,8.6,0.452917553
119,01.07.14,Romania,Eastern,8.7,0.479331564
120,01.10.14,Romania,Eastern,8.6,0.504763057
121,01.01.15,Romania,Eastern,8.6,0.54503015
122,01.04.15,Romania,Eastern,8.3,0.588222967
123,01.07.15,Romania,Eastern,8.3,0.614364226
124,01.10.15,Romania,Eastern,8.2,0.667792639
125,01.01.16,Romania,Eastern,7.8,0.699374242
126,01.04.16,Romania,Eastern,7.2,0.717214958
127,01.07.16,Romania,Eastern,7,0.761454446
128,01.10.16,Romania,Eastern,6.7,0.770893121
129,01.01.17,Romania,Eastern,6.5,0.745009959
130,01.04.17,Romania,Eastern,6,0.751587485
131,01.07.17,Romania,Eastern,6,0.712300471
132,01.10.17,Romania,Eastern,5.9,0.702186001
133,01.01.18,Romania,Eastern,5.6,0.718682519
134,01.04.18,Romania,Eastern,5.3,0.730875549
135,01.07.18,Romania,Eastern,5,0.741862004
136,01.10.18,Romania,Eastern,5,0.738132074
137,01.01.19,Romania,Eastern,5,0.717154997
138,01.04.19,Romania,Eastern,5,0.682340295
139,01.07.19,Romania,Eastern,5,0.620942088
140,01.10.19,Romania,Eastern,4.8,0.56133201
141,01.01.20,Romania,Eastern,5.1,0.498392111
142,01.04.20,Romania,Eastern,6.6,0.447773
143,01.07.20,Romania,Eastern,6.4,0.439198271
144,01.10.20,Romania,Eastern,6.1,0.434089639
145,01.01.21,Romania,Eastern,5.9,0.463689713
146,01.04.21,Romania,Eastern,5.5,0.497635631
147,01.07.21,Romania,Eastern,5.4,0.539733342
148,01.10.21,Romania,Eastern,5.6,0.556970391
149,01.01.22,Romania,Eastern,5.8,0.559987626
150,01.04.22,Romania,Eastern,5.6,0.559924366
151,01.07.22,Romania,Eastern,5.5,0.537967929
152,01.10.22,Romania,Eastern,5.6,0.529081473
153,01.01.05,Bulgaria,Eastern,10.7,0.702284449
154,01.04.05,Bulgaria,Eastern,10.3,0.601792082
155,01.07.05,Bulgaria,Eastern,9.6,0.613091385
156,01.10.05,Bulgaria,Eastern,9.8,0.637979659
157,01.01.06,Bulgaria,Eastern,9.2,0.602784826
158,01.04.06,Bulgaria,Eastern,9.2,0.555435457
159,01.07.06,Bulgaria,Eastern,9.1,0.573244941
160,01.10.06,Bulgaria,Eastern,8.3,0.586821946
161,01.01.07,Bulgaria,Eastern,7.6,0.681571221
162,01.04.07,Bulgaria,Eastern,7,0.70520952
163,01.07.07,Bulgaria,Eastern,6.9,0.683543906
164,01.10.07,Bulgaria,Eastern,6.2,0.709115165
165,01.01.08,Bulgaria,Eastern,6,0.670402458
166,01.04.08,Bulgaria,Eastern,5.9,0.681107212
167,01.07.08,Bulgaria,Eastern,5.5,0.644332611
168,01.10.08,Bulgaria,Eastern,5.2,0.560342622
169,01.01.09,Bulgaria,Eastern,6.9,0.490634485
170,01.04.09,Bulgaria,Eastern,7.5,0.494097034
171,01.07.09,Bulgaria,Eastern,8.4,0.501138888
172,01.10.09,Bulgaria,Eastern,9,0.503740223
173,01.01.10,Bulgaria,Eastern,10.4,0.464484566
174,01.04.10,Bulgaria,Eastern,11.1,0.47793958
175,01.07.10,Bulgaria,Eastern,11.4,0.481008423
176,01.10.10,Bulgaria,Eastern,12.4,0.517062943
177,01.01.11,Bulgaria,Eastern,12.2,0.448037927
178,01.04.11,Bulgaria,Eastern,12.2,0.505435757
179,01.07.11,Bulgaria,Eastern,12.2,0.49076215
180,01.10.11,Bulgaria,Eastern,12.6,0.514523396
181,01.01.12,Bulgaria,Eastern,13,0.544585403
182,01.04.12,Bulgaria,Eastern,13.2,0.489328129
183,01.07.12,Bulgaria,Eastern,13.4,0.496462841
184,01.10.12,Bulgaria,Eastern,13.5,0.429810982
185,01.01.13,Bulgaria,Eastern,13.9,0.444717267
186,01.04.13,Bulgaria,Eastern,13.8,0.428429259
187,01.07.13,Bulgaria,Eastern,13.8,0.427680037
188,01.10.13,Bulgaria,Eastern,14.1,0.44758125
189,01.01.14,Bulgaria,Eastern,13.2,0.48846287
190,01.04.14,Bulgaria,Eastern,12.2,0.458803378
191,01.07.14,Bulgaria,Eastern,12.4,0.449320345
192,01.10.14,Bulgaria,Eastern,11.7,0.48735211
193,01.01.15,Bulgaria,Eastern,10.9,0.50805212
194,01.04.15,Bulgaria,Eastern,10.7,0.568663783
195,01.07.15,Bulgaria,Eastern,9.8,0.524058622
196,01.10.15,Bulgaria,Eastern,9.1,0.518999422
197,01.01.16,Bulgaria,Eastern,9.1,0.613579827
198,01.04.16,Bulgaria,Eastern,8.8,0.585260133
199,01.07.16,Bulgaria,Eastern,8.4,0.581504421
200,01.10.16,Bulgaria,Eastern,7.9,0.609795711
201,01.01.17,Bulgaria,Eastern,7.4,0.588773928
202,01.04.17,Bulgaria,Eastern,7.2,0.555223334
203,01.07.17,Bulgaria,Eastern,7.3,0.579629953
204,01.10.17,Bulgaria,Eastern,6.8,0.58952678
205,01.01.18,Bulgaria,Eastern,6.3,0.629807761
206,01.04.18,Bulgaria,Eastern,6.3,0.606270047
207,01.07.18,Bulgaria,Eastern,6.4,0.613397172
208,01.10.18,Bulgaria,Eastern,5.8,0.658127038
209,01.01.19,Bulgaria,Eastern,5.6,0.617560795
210,01.04.19,Bulgaria,Eastern,5.1,0.57727612
211,01.07.19,Bulgaria,Eastern,5.1,0.586469913
212,01.10.19,Bulgaria,Eastern,5.2,0.60740787
213,01.01.20,Bulgaria,Eastern,5.1,0.416628658
214,01.04.20,Bulgaria,Eastern,6.7,0.549755793
215,01.07.20,Bulgaria,Eastern,6.3,0.575209788
216,01.10.20,Bulgaria,Eastern,6.3,0.494418785
217,01.01.21,Bulgaria,Eastern,5.9,0.489879733
218,01.04.21,Bulgaria,Eastern,5.5,0.558040898
219,01.07.21,Bulgaria,Eastern,5,0.557402833
220,01.10.21,Bulgaria,Eastern,4.6,0.548596961
221,01.01.22,Bulgaria,Eastern,4.6,0.565459486
222,01.04.22,Bulgaria,Eastern,4.5,0.615289745
223,01.07.22,Bulgaria,Eastern,4.1,0.568131995
224,01.10.22,Bulgaria,Eastern,3.9,0.559846879
225,01.01.02,Lithuania,Eastern,16.3,0.520624974
226,01.04.02,Lithuania,Eastern,13.5,0.50698946
227,01.07.02,Lithuania,Eastern,12.6,0.447072614
228,01.10.02,Lithuania,Eastern,12.8,0.430175733
229,01.01.03,Lithuania,Eastern,12.8,0.387876566
230,01.04.03,Lithuania,Eastern,13.2,0.400693781
231,01.07.03,Lithuania,Eastern,12.3,0.466922601
232,01.10.03,Lithuania,Eastern,11.6,0.725984127
233,01.01.04,Lithuania,Eastern,11.6,0.931119421
234,01.04.04,Lithuania,Eastern,10.9,1.108964077
235,01.07.04,Lithuania,Eastern,10.7,1.378161615
236,01.10.04,Lithuania,Eastern,10.4,1.378127331
237,01.01.05,Lithuania,Eastern,9.4,1.581338955
238,01.04.05,Lithuania,Eastern,9,1.640758185
239,01.07.05,Lithuania,Eastern,7.6,1.711992315
240,01.10.05,Lithuania,Eastern,7.1,1.750190593
241,01.01.06,Lithuania,Eastern,6.5,1.743729286
242,01.04.06,Lithuania,Eastern,5.7,1.64007464
243,01.07.06,Lithuania,Eastern,5.9,1.61210967
244,01.10.06,Lithuania,Eastern,5.1,0.763417098
245,01.01.07,Lithuania,Eastern,4.7,0.520531351
246,01.04.07,Lithuania,Eastern,4.2,0.460668355
247,01.07.07,Lithuania,Eastern,4.1,0.335511193
248,01.10.07,Lithuania,Eastern,4.1,0.304442072
249,01.01.08,Lithuania,Eastern,4.3,0.385401913
250,01.04.08,Lithuania,Eastern,4.7,0.409679451
251,01.07.08,Lithuania,Eastern,6.4,0.467110073
252,01.10.08,Lithuania,Eastern,8,0.512953964
253,01.01.09,Lithuania,Eastern,12.1,0.614343783
254,01.04.09,Lithuania,Eastern,13.8,0.629293022
255,01.07.09,Lithuania,Eastern,14.1,0.653296701
256,01.10.09,Lithuania,Eastern,15.6,0.609575212
257,01.01.10,Lithuania,Eastern,17.6,0.668103744
258,01.04.10,Lithuania,Eastern,18,0.639267105
259,01.07.10,Lithuania,Eastern,18.1,0.714346087
260,01.10.10,Lithuania,Eastern,17.6,0.655078256
261,01.01.11,Lithuania,Eastern,16.7,0.643485827
262,01.04.11,Lithuania,Eastern,15.5,0.670890011
263,01.07.11,Lithuania,Eastern,15.2,0.805426462
264,01.10.11,Lithuania,Eastern,14.2,0.762635263
265,01.01.12,Lithuania,Eastern,14.2,0.816100444
266,01.04.12,Lithuania,Eastern,13.3,0.802818315
267,01.07.12,Lithuania,Eastern,12.9,0.734527177
268,01.10.12,Lithuania,Eastern,13.3,0.826993991
269,01.01.13,Lithuania,Eastern,12.6,0.835531318
270,01.04.13,Lithuania,Eastern,11.6,0.880661525
271,01.07.13,Lithuania,Eastern,11.5,0.943363481
272,01.10.13,Lithuania,Eastern,11.6,0.941895267
273,01.01.14,Lithuania,Eastern,11.9,1.009972531
274,01.04.14,Lithuania,Eastern,10.9,1.080740587
275,01.07.14,Lithuania,Eastern,9.6,1.110976967
276,01.10.14,Lithuania,Eastern,10.2,1.140025805
277,01.01.15,Lithuania,Eastern,9.9,1.308880585
278,01.04.15,Lithuania,Eastern,9.2,1.296988983
279,01.07.15,Lithuania,Eastern,8.6,1.346361189
280,01.10.15,Lithuania,Eastern,8.9,1.385154877
281,01.01.16,Lithuania,Eastern,8.2,1.289687666
282,01.04.16,Lithuania,Eastern,8,1.270108935
283,01.07.16,Lithuania,Eastern,7.8,1.251189152
284,01.10.16,Lithuania,Eastern,7.8,1.165685879
285,01.01.17,Lithuania,Eastern,7.6,1.281665138
286,01.04.17,Lithuania,Eastern,7,1.221284723
287,01.07.17,Lithuania,Eastern,6.9,1.196761741
288,01.10.17,Lithuania,Eastern,6.8,1.251737362
289,01.01.18,Lithuania,Eastern,6.8,1.060048403
290,01.04.18,Lithuania,Eastern,6,1.13469687
291,01.07.18,Lithuania,Eastern,5.8,1.173644561
292,01.10.18,Lithuania,Eastern,6.1,1.192675046
293,01.01.19,Lithuania,Eastern,6.3,1.441170608
294,01.04.19,Lithuania,Eastern,6.1,1.601733933
295,01.07.19,Lithuania,Eastern,6.2,1.728196523
296,01.10.19,Lithuania,Eastern,6.5,1.775821096
297,01.01.20,Lithuania,Eastern,7.2,1.791288562
298,01.04.20,Lithuania,Eastern,8.5,1.766331595
299,01.07.20,Lithuania,Eastern,9.2,1.715920954
300,01.10.20,Lithuania,Eastern,8.9,1.62789748
301,01.01.03,Luxembourg,Continental,3.7,7.643138355
302,01.04.03,Luxembourg,Continental,3.7,9.13267893
303,01.07.03,Luxembourg,Continental,3.6,11.31341528
304,01.10.03,Luxembourg,Continental,3.7,11.26629738
305,01.01.04,Luxembourg,Continental,5.2,12.48261969
306,01.04.04,Luxembourg,Continental,5.2,12.97645478
307,01.07.04,Luxembourg,Continental,5,13.49412179
308,01.10.04,Luxembourg,Continental,5.1,13.73172206
309,01.01.05,Luxembourg,Continental,4.6,13.07753952
310,01.04.05,Luxembourg,Continental,4.6,12.30824639
311,01.07.05,Luxembourg,Continental,4.4,12.12621418
312,01.10.05,Luxembourg,Continental,4.5,5.650115097
313,01.01.06,Luxembourg,Continental,4.8,3.816383517
314,01.04.06,Luxembourg,Continental,4.8,3.424001819
315,01.07.06,Luxembourg,Continental,4.6,2.516170286
316,01.10.06,Luxembourg,Continental,4.7,2.227327902
317,01.01.07,Luxembourg,Continental,4.6,2.708534139
318,01.04.07,Luxembourg,Continental,4,2.942867324
319,01.07.07,Luxembourg,Continental,3.9,3.363718103
320,01.10.07,Luxembourg,Continental,3.8,3.719643488
321,01.01.08,Luxembourg,Continental,4.4,4.495919836
322,01.04.08,Luxembourg,Continental,5.1,4.386416056
323,01.07.08,Luxembourg,Continental,5.4,4.645597997
324,01.10.08,Luxembourg,Continental,5.3,4.404260696
325,01.01.09,Luxembourg,Continental,5.9,4.468871707
326,01.04.09,Luxembourg,Continental,5.2,4.212463153
327,01.07.09,Luxembourg,Continental,4.2,4.80216797
328,01.10.09,Luxembourg,Continental,5.3,4.347337517
329,01.01.10,Luxembourg,Continental,5,4.226596335
330,01.04.10,Luxembourg,Continental,4.2,4.409550205
331,01.07.10,Luxembourg,Continental,3.7,5.156821374
332,01.10.10,Luxembourg,Continental,4.5,4.744564913
333,01.01.11,Luxembourg,Continental,5.3,5.026904415
334,01.04.11,Luxembourg,Continental,5.4,5.046776672
335,01.07.11,Luxembourg,Continental,4.2,4.59390726
336,01.10.11,Luxembourg,Continental,4.7,5.065770721
337,01.01.12,Luxembourg,Continental,6,4.999490671
338,01.04.12,Luxembourg,Continental,4.1,5.280359879
339,01.07.12,Luxembourg,Continental,5.6,5.465518581
340,01.10.12,Luxembourg,Continental,5,5.442888854
341,01.01.13,Luxembourg,Continental,5.6,5.935097543
342,01.04.13,Luxembourg,Continental,6.3,6.30432009
343,01.07.13,Luxembourg,Continental,5.4,6.494604483
344,01.10.13,Luxembourg,Continental,6.1,6.477821049
345,01.01.14,Luxembourg,Continental,6.6,7.336752091
346,01.04.14,Luxembourg,Continental,5.1,7.413528468
347,01.07.14,Luxembourg,Continental,6.2,7.596584095
348,01.10.14,Luxembourg,Continental,5.5,7.657554318
349,01.01.15,Luxembourg,Continental,7.4,6.834879037
350,01.04.15,Luxembourg,Continental,5.5,6.851171553
351,01.07.15,Luxembourg,Continental,7.5,6.564274513
352,01.10.15,Luxembourg,Continental,6.2,6.255420558
353,01.01.16,Luxembourg,Continental,6,6.819955371
354,01.04.16,Luxembourg,Continental,6.3,6.419460492
355,01.07.16,Luxembourg,Continental,6.9,6.106445065
356,01.10.16,Luxembourg,Continental,5.9,6.427960904
357,01.01.17,Luxembourg,Continental,6.2,5.355838957
358,01.04.17,Luxembourg,Continental,5.4,5.78575118
359,01.07.17,Luxembourg,Continental,5.4,5.969399061
360,01.10.17,Luxembourg,Continental,5.2,6.054482349
361,01.01.18,Luxembourg,Continental,5.7,7.205853038
362,01.04.18,Luxembourg,Continental,5.6,8.047199346
363,01.07.18,Luxembourg,Continental,5.9,8.472802415
364,01.10.18,Luxembourg,Continental,5.3,8.666714915
365,01.01.19,Luxembourg,Continental,5.5,8.796294496
366,01.04.19,Luxembourg,Continental,5.4,8.495765409
367,01.07.19,Luxembourg,Continental,5.7,8.223049768
368,01.10.19,Luxembourg,Continental,5.8,7.863752322
369,01.01.05,Latvia,Eastern,11.2,1.000483583
370,01.04.05,Latvia,Eastern,10.3,1.09996315
371,01.07.05,Latvia,Eastern,9.7,1.10437745
372,01.10.05,Latvia,Eastern,8.9,1.257809383
373,01.01.06,Latvia,Eastern,8.3,1.524200566
374,01.04.06,Latvia,Eastern,7.2,1.65100283
375,01.07.06,Latvia,Eastern,6.1,1.737652171
376,01.10.06,Latvia,Eastern,6.5,1.923729739
377,01.01.07,Latvia,Eastern,6.9,1.921676255
378,01.04.07,Latvia,Eastern,6.3,1.909492935
379,01.07.07,Latvia,Eastern,5.7,1.710529662
380,01.10.07,Latvia,Eastern,5.4,1.535101361
381,01.01.08,Latvia,Eastern,6.5,1.783939887
382,01.04.08,Latvia,Eastern,6.6,1.592261772
383,01.07.08,Latvia,Eastern,7.6,1.131122549
384,01.10.08,Latvia,Eastern,10.4,1.049393893
385,01.01.09,Latvia,Eastern,13.9,0.796204274
386,01.04.09,Latvia,Eastern,17.4,0.701196792
387,01.07.09,Latvia,Eastern,19.5,0.58411657
388,01.10.09,Latvia,Eastern,20.2,0.562810117
389,01.01.10,Latvia,Eastern,20.7,0.551143126
390,01.04.10,Latvia,Eastern,20.3,0.613658345
391,01.07.10,Latvia,Eastern,19.3,0.659719369
392,01.10.10,Latvia,Eastern,18.3,0.725791338
393,01.01.11,Latvia,Eastern,17.2,1.009459265
394,01.04.11,Latvia,Eastern,16.9,1.006603201
395,01.07.11,Latvia,Eastern,15.7,0.919663002
396,01.10.11,Latvia,Eastern,15.5,0.949990184
397,01.01.12,Latvia,Eastern,15.8,1.133777374
398,01.04.12,Latvia,Eastern,16.1,1.117990417
399,01.07.12,Latvia,Eastern,14.3,1.017619453
400,01.10.12,Latvia,Eastern,14.2,1.140339219
401,01.01.13,Latvia,Eastern,12.5,1.439324716
402,01.04.13,Latvia,Eastern,11.4,1.391985795
403,01.07.13,Latvia,Eastern,12.3,1.220800192
404,01.10.13,Latvia,Eastern,11.5,1.241874618
405,01.01.14,Latvia,Eastern,11.4,1.389244947
406,01.04.14,Latvia,Eastern,10.5,1.329878297
407,01.07.14,Latvia,Eastern,10.9,1.094120661
408,01.10.14,Latvia,Eastern,10.5,1.092090937
409,01.01.15,Latvia,Eastern,10.1,1.334849623
410,01.04.15,Latvia,Eastern,9.6,1.424815751
411,01.07.15,Latvia,Eastern,9.8,1.186837225
412,01.10.15,Latvia,Eastern,10,1.270366917
413,01.01.16,Latvia,Eastern,10.2,1.335474843
414,01.04.16,Latvia,Eastern,9.7,1.536565886
415,01.07.16,Latvia,Eastern,9.7,1.35249066
416,01.10.16,Latvia,Eastern,9.3,1.526944936
417,01.01.17,Latvia,Eastern,9.2,1.59299927
418,01.04.17,Latvia,Eastern,8.7,1.701663843
419,01.07.17,Latvia,Eastern,8.7,1.698471158
420,01.10.17,Latvia,Eastern,8.4,1.857319702
421,01.01.18,Latvia,Eastern,8.1,2.17826704
422,01.04.18,Latvia,Eastern,7.4,2.499398616
423,01.07.18,Latvia,Eastern,7.1,2.181379953
424,01.10.18,Latvia,Eastern,7.1,2.275226389
425,01.01.19,Latvia,Eastern,6.9,2.812000118
426,01.04.19,Latvia,Eastern,6.1,3.105202739
427,01.07.19,Latvia,Eastern,6.1,2.812522347
428,01.10.19,Latvia,Eastern,6.2,2.977322301
429,01.01.20,Latvia,Eastern,7.7,1.852813939
430,01.04.20,Latvia,Eastern,8.3,2.153201118
431,01.07.20,Latvia,Eastern,8.3,2.049066678
432,01.10.20,Latvia,Eastern,8.2,1.879074955
433,01.01.21,Latvia,Eastern,8,2.24760319
434,01.04.21,Latvia,Eastern,7.6,2.752576925
435,01.07.21,Latvia,Eastern,7.3,2.387077117
436,01.10.21,Latvia,Eastern,7.4,3.023327141
437,01.01.22,Latvia,Eastern,7.1,2.896163683
438,01.04.22,Latvia,Eastern,6.4,2.778869522
439,01.07.22,Latvia,Eastern,7.1,2.575676653
440,01.10.22,Latvia,Eastern,6.8,2.466403427
441,01.01.08,Ireland,Anglo-American,5.4,0.763749627
442,01.04.08,Ireland,Anglo-American,5.9,0.655557435
443,01.07.08,Ireland,Anglo-American,7.4,0.522903158
444,01.10.08,Ireland,Anglo-American,8.6,0.329623288
445,01.01.09,Ireland,Anglo-American,11.2,0.301464255
446,01.04.09,Ireland,Anglo-American,12.7,0.245795602
447,01.07.09,Ireland,Anglo-American,13.2,0.235910878
448,01.10.09,Ireland,Anglo-American,13.6,0.220653133
449,01.01.10,Ireland,Anglo-American,14.1,0.296591412
450,01.04.10,Ireland,Anglo-American,14.3,0.341312057
451,01.07.10,Ireland,Anglo-American,14.6,0.334970969
452,01.10.10,Ireland,Anglo-American,15.3,0.332883491
453,01.01.11,Ireland,Anglo-American,15.3,0.359550562
454,01.04.11,Ireland,Anglo-American,15.1,0.389435989
455,01.07.11,Ireland,Anglo-American,15.6,0.361663653
456,01.10.11,Ireland,Anglo-American,15.7,0.333183251
457,01.01.12,Ireland,Anglo-American,15.9,0.409540954
458,01.04.12,Ireland,Anglo-American,15.7,0.360036004
459,01.07.12,Ireland,Anglo-American,15.6,0.396932792
460,01.10.12,Ireland,Anglo-American,14.9,0.43497961
461,01.01.13,Ireland,Anglo-American,14.5,0.427542754
462,01.04.13,Ireland,Anglo-American,14.3,0.46854083
463,01.07.13,Ireland,Anglo-American,13.5,0.512021371
464,01.10.13,Ireland,Anglo-American,12.7,0.473425636
465,01.01.14,Ireland,Anglo-American,12.9,0.50802139
466,01.04.14,Ireland,Anglo-American,12.3,0.495535714
467,01.07.14,Ireland,Anglo-American,11.6,0.555308752
468,01.10.14,Ireland,Anglo-American,10.8,0.492676431
469,01.01.15,Ireland,Anglo-American,10.8,0.707964602
470,01.04.15,Ireland,Anglo-American,10,0.661084178
471,01.07.15,Ireland,Anglo-American,9.6,0.73878628
472,01.10.15,Ireland,Anglo-American,9.4,0.626918018
473,01.01.16,Ireland,Anglo-American,9.1,0.707423581
474,01.04.16,Ireland,Anglo-American,8.7,0.680154972
475,01.07.16,Ireland,Anglo-American,8.2,0.781451267
476,01.10.16,Ireland,Anglo-American,7.5,0.70720138
477,01.01.17,Ireland,Anglo-American,7.3,0.74710176
478,01.04.17,Ireland,Anglo-American,6.7,0.83619211
479,01.07.17,Ireland,Anglo-American,6.6,0.808383234
480,01.10.17,Ireland,Anglo-American,6.3,0.750954603
481,01.01.18,Ireland,Anglo-American,6,0.754557016
482,01.04.18,Ireland,Anglo-American,5.9,0.922431866
483,01.07.18,Ireland,Anglo-American,5.7,0.806383872
484,01.10.18,Ireland,Anglo-American,5.5,0.728338217
485,01.01.19,Ireland,Anglo-American,5.2,0.750206101
486,01.04.19,Ireland,Anglo-American,5.1,0.889900662
487,01.07.19,Ireland,Anglo-American,5,0.739058629
488,01.10.19,Ireland,Anglo-American,4.8,0.737871993
489,01.01.20,Ireland,Anglo-American,4.9,0.595865424
490,01.04.20,Ireland,Anglo-American,5.2,0.609430605
491,01.07.20,Ireland,Anglo-American,7,0.672795654
492,01.10.20,Ireland,Anglo-American,6.4,0.697964271
493,01.01.21,Ireland,Anglo-American,7.3,0.739817124
494,01.04.21,Ireland,Anglo-American,7,0.96031746
495,01.07.21,Ireland,Anglo-American,5.4,1.203560372
496,01.10.21,Ireland,Anglo-American,5.2,1.122994652
497,01.01.22,Ireland,Anglo-American,5,1.258529189
498,01.04.22,Ireland,Anglo-American,4.3,1.288989102
499,01.07.22,Ireland,Anglo-American,4.3,1.273692191
500,01.10.22,Ireland,Anglo-American,4.4,1.034870641
