,country,date,diff_factor,unemployment_level_oecd,active_pop_oecd,vacancy_stock_oecd,vacancy_stock_factored_v1,vacancy_stock_lm_v2,unemployment_rate_oecd,vacancy_rate_oecd,vacancy_rate_factored_v1,vacancy_rate_lm_v2,vacancy_stock_eurostat,effective_unemployment_rate_lm_v2,unemployment_gap_lm_v2,tightness_lm_v2
15,Austria,01.07.53,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Austria,01.10.53,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Austria,01.01.54,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Austria,01.04.54,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Austria,01.07.54,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Austria,01.10.54,2.086478143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Austria,01.01.55,2.086478143,121340.1,NA,23596.27,49233.1016,59557.98101,NA,NA,NA,NA,NA,NA,NA,NA
22,Austria,01.04.55,2.086478143,119837.5,NA,25545.34,53299.79356,61985.53438,NA,NA,NA,NA,NA,NA,NA,NA
23,Austria,01.07.55,2.086478143,118705.1,NA,24943.83,52044.75609,61236.35778,NA,NA,NA,NA,NA,NA,NA,NA
24,Austria,01.10.55,2.086478143,111469.4,NA,23246.37,48503.0429,59122.18295,NA,NA,NA,NA,NA,NA,NA,NA
25,Austria,01.01.56,2.086478143,116663.5,NA,21285.23,44411.16716,56679.59648,NA,NA,NA,NA,NA,NA,NA,NA
26,Austria,01.04.56,2.086478143,115813,NA,22240.49,46404.29627,57869.36628,NA,NA,NA,NA,NA,NA,NA,NA
27,Austria,01.07.56,2.086478143,112414.2,NA,22334.69,46600.84251,57986.69174,NA,NA,NA,NA,NA,NA,NA,NA
28,Austria,01.10.56,2.086478143,115150.2,NA,21099.08,44022.76925,56447.74793,NA,NA,NA,NA,NA,NA,NA,NA
29,Austria,01.01.57,2.086478143,107589.2,NA,20828.99,43459.23237,56111.35268,NA,NA,NA,NA,NA,NA,NA,NA
30,Austria,01.04.57,2.086478143,110322.2,NA,20374.36,42510.65681,55545.11412,NA,NA,NA,NA,NA,NA,NA,NA
31,Austria,01.07.57,2.086478143,108765.9,NA,20874.65,43554.50096,56168.22189,NA,NA,NA,NA,NA,NA,NA,NA
32,Austria,01.10.57,2.086478143,104076.3,NA,22499.26,46944.21422,58191.66255,NA,NA,NA,NA,NA,NA,NA,NA
33,Austria,01.01.58,2.086478143,114654.9,NA,21451.41,44757.8981,56886.57253,NA,NA,NA,NA,NA,NA,NA,NA
34,Austria,01.04.58,2.086478143,125191.9,NA,21821.19,45529.43598,57347.131,NA,NA,NA,NA,NA,NA,NA,NA
35,Austria,01.07.58,2.086478143,125024,NA,21680.26,45235.38862,57171.60364,NA,NA,NA,NA,NA,NA,NA,NA
36,Austria,01.10.58,2.086478143,117379.7,NA,20593.37,42967.61639,55817.88958,NA,NA,NA,NA,NA,NA,NA,NA
37,Austria,01.01.59,2.086478143,113003,NA,21720.44,45319.22331,57221.64756,NA,NA,NA,NA,NA,NA,NA,NA
38,Austria,01.04.59,2.086478143,108981,NA,23960.45,49992.95521,60011.56471,NA,NA,NA,NA,NA,NA,NA,NA
39,Austria,01.07.59,2.086478143,103687.7,NA,26171.12,54605.46985,62764.93909,NA,NA,NA,NA,NA,NA,NA,NA
40,Austria,01.10.59,2.086478143,97697.82,NA,27524.89,57430.08137,64451.05038,NA,NA,NA,NA,NA,NA,NA,NA
41,Austria,01.01.60,2.086478143,89387.5,NA,27092.71,56528.34724,63912.77314,NA,NA,NA,NA,NA,NA,NA,NA
42,Austria,01.04.60,2.086478143,80898.94,NA,29991.64,62576.90132,67523.37065,NA,NA,NA,NA,NA,NA,NA,NA
43,Austria,01.07.60,2.086478143,77919.87,NA,29918.89,62425.11004,67432.76102,NA,NA,NA,NA,NA,NA,NA,NA
44,Austria,01.10.60,2.086478143,72738.16,NA,33586.42,70077.33122,72000.64457,NA,NA,NA,NA,NA,NA,NA,NA
45,Austria,01.01.61,2.086478143,64321.45,NA,36723.34,76622.44624,75907.657,NA,NA,NA,NA,NA,NA,NA,NA
46,Austria,01.04.61,2.086478143,61258.38,NA,36416.9,75983.06588,75525.98808,NA,NA,NA,NA,NA,NA,NA,NA
47,Austria,01.07.61,2.086478143,60759.37,NA,38229.11,79764.20243,77783.08325,NA,NA,NA,NA,NA,NA,NA,NA
48,Austria,01.10.61,2.086478143,62513.22,NA,40312.6,84111.35878,80378.05581,NA,NA,NA,NA,NA,NA,NA,NA
49,Austria,01.01.62,2.086478143,64083.16,NA,40749.26,85022.44032,80921.91285,NA,NA,NA,NA,NA,NA,NA,NA
50,Austria,01.04.62,2.086478143,63893.91,NA,37411.35,78057.96406,76764.56876,NA,NA,NA,NA,NA,NA,NA,NA
51,Austria,01.07.62,2.086478143,63497.14,NA,37161.93,77537.55469,76453.91785,NA,NA,NA,NA,NA,NA,NA,NA
52,Austria,01.10.62,2.086478143,65969.2,NA,35878.42,74859.53913,74855.31491,NA,NA,NA,NA,NA,NA,NA,NA
53,Austria,01.01.63,2.086478143,74809.09,NA,34549.32,72086.40103,73199.92995,NA,NA,NA,NA,NA,NA,NA,NA
54,Austria,01.04.63,2.086478143,69754.76,NA,37393.09,78019.86497,76741.82605,NA,NA,NA,NA,NA,NA,NA,NA
55,Austria,01.07.63,2.086478143,66086.76,NA,38773.14,80899.30913,78460.6689,NA,NA,NA,NA,NA,NA,NA,NA
56,Austria,01.10.63,2.086478143,64997.22,NA,38175.28,79651.88731,77716.03835,NA,NA,NA,NA,NA,NA,NA,NA
57,Austria,01.01.64,2.086478143,67410.63,NA,39000.99,81374.71318,78744.45451,NA,NA,NA,NA,NA,NA,NA,NA
58,Austria,01.04.64,2.086478143,64521.61,NA,39725.07,82885.49027,79646.29121,NA,NA,NA,NA,NA,NA,NA,NA
59,Austria,01.07.64,2.086478143,64903.48,NA,40322.16,84131.30551,80389.96272,NA,NA,NA,NA,NA,NA,NA,NA
60,Austria,01.10.64,2.086478143,63573.2,NA,39164.66,81716.20706,78948.30438,NA,NA,NA,NA,NA,NA,NA,NA
61,Austria,01.01.65,2.086478143,66122.09,NA,40246.3,83973.02528,80295.47961,NA,NA,NA,NA,NA,NA,NA,NA
62,Austria,01.04.65,2.086478143,65677.26,NA,41397.61,86375.20843,81729.42835,NA,NA,NA,NA,NA,NA,NA,NA
63,Austria,01.07.65,2.086478143,64093.59,NA,42429.85,88528.95462,83015.07622,NA,NA,NA,NA,NA,NA,NA,NA
64,Austria,01.10.65,2.086478143,64247.32,NA,43848.67,91489.29154,84782.20683,NA,NA,NA,NA,NA,NA,NA,NA
65,Austria,01.01.66,2.086478143,57987.4,NA,45654.58,95257.28328,87031.4554,NA,NA,NA,NA,NA,NA,NA,NA
66,Austria,01.04.66,2.086478143,65604.2,NA,45308.11,94534.3812,86599.92938,NA,NA,NA,NA,NA,NA,NA,NA
67,Austria,01.07.66,2.086478143,63770.07,NA,46593.49,97216.29848,88200.86139,NA,NA,NA,NA,NA,NA,NA,NA
68,Austria,01.10.66,2.086478143,61145.09,NA,46276.14,96554.15464,87805.60413,NA,NA,NA,NA,NA,NA,NA,NA
69,Austria,01.01.67,2.086478143,58530.62,NA,40047.53,83558.29601,80047.91293,NA,NA,NA,NA,NA,NA,NA,NA
70,Austria,01.04.67,2.086478143,67160.35,NA,33716.06,70347.82225,72162.11031,NA,NA,NA,NA,NA,NA,NA,NA
71,Austria,01.07.67,2.086478143,67255.82,NA,29984.73,62562.48376,67514.76429,NA,NA,NA,NA,NA,NA,NA,NA
72,Austria,01.10.67,2.086478143,69485.98,NA,26024.43,54299.40437,62582.2377,NA,NA,NA,NA,NA,NA,NA,NA
73,Austria,01.01.68,2.086478143,72319.52,NA,27858.1,58125.31675,64866.06115,NA,NA,NA,NA,NA,NA,NA,NA
74,Austria,01.04.68,2.086478143,70419.7,NA,26820.32,55960.01146,63573.51325,NA,NA,NA,NA,NA,NA,NA,NA
75,Austria,01.07.68,2.086478143,68895.13,NA,27855.71,58120.33006,64863.08443,NA,NA,NA,NA,NA,NA,NA,NA
76,Austria,01.10.68,2.086478143,68322.26,NA,28281.77,59009.29494,65393.73924,NA,NA,NA,NA,NA,NA,NA,NA
77,Austria,01.01.69,2.086478143,73639.29,3049207,30265.4,63148.09558,67864.33686,2.415030859,0.992566264,2.070967815,2.225638891,NA,2.318401734,0.096629124,0.921577827
78,Austria,01.04.69,2.086478143,66609.58,3029480,33170.63,69209.79448,71482.78097,2.198713311,1.094928172,2.2845437,2.359572632,NA,2.277723371,-0.07901006,1.073160662
79,Austria,01.07.69,2.086478143,60312.46,3039248,34159.01,71272.02774,72713.80151,1.984453391,1.123929669,2.345054689,2.392493193,NA,2.178942686,-0.194489295,1.205618234
80,Austria,01.10.69,2.086478143,59142.03,3012518,38166.76,79634.11052,77705.42675,1.963209182,1.26693882,2.643440156,2.579417841,NA,2.250319264,-0.287110082,1.313878248
81,Austria,01.01.70,2.086478143,74973.91,3000317,40917.45,85373.36508,81131.39235,2.498866286,1.363770895,2.845478164,2.704094012,NA,2.59945559,-0.100589303,1.082128334
82,Austria,01.04.70,2.086478143,57234.37,3020520,43471.99,90703.35696,84313.05447,1.894851549,1.439222054,3.002905359,2.791342367,NA,2.299821603,-0.404970055,1.473119289
83,Austria,01.07.70,2.086478143,52077.75,3010133,46893.29,97841.82462,88574.26024,1.730081362,1.557847776,3.250415335,2.942536434,NA,2.256286206,-0.526204844,1.700808123
84,Austria,01.10.70,2.086478143,49490.64,3011411,49836.95,103983.7069,92240.56866,1.643436914,1.654936839,3.452989541,3.063034858,NA,2.243636458,-0.600199544,1.863798259
85,Austria,01.01.71,2.086478143,53061.74,2997685,53053.81,110695.615,96247.14581,1.770090587,1.769826049,3.692703368,3.210715796,NA,2.383958432,-0.613867846,1.813870895
86,Austria,01.04.71,2.086478143,53232.71,3014123,55979.57,116800.1492,99891.1599,1.766109412,1.857242389,3.875095649,3.314103635,NA,2.419311808,-0.653202395,1.876499616
87,Austria,01.07.71,2.086478143,51640.23,3005548,56975.4,118877.9268,101131.4594,1.718163543,1.895674266,3.955282923,3.36482596,NA,2.404437833,-0.68627429,1.958385146
88,Austria,01.10.71,2.086478143,50143.98,3022076,57645.55,120276.1801,101966.1266,1.659256088,1.907481811,3.979919105,3.374042433,NA,2.366093922,-0.706837834,2.033466961
89,Austria,01.01.72,2.086478143,47392,3018683,59747.73,124662.3327,104584.3774,1.56995617,1.979264799,4.129692741,3.464569729,NA,2.332214103,-0.762257933,2.206793919
90,Austria,01.04.72,2.086478143,52243.32,3012184,59807.37,124786.7703,104658.6586,1.734400023,1.985515161,4.142733986,3.474510808,NA,2.454830264,-0.720430241,2.003292644
91,Austria,01.07.72,2.086478143,51097.63,3035480,61992.75,129346.5179,107380.5345,1.683345962,2.042271733,4.261155332,3.537514149,NA,2.440258215,-0.756912254,2.101477789
92,Austria,01.10.72,2.086478143,45807.38,3045985,66443.83,138633.599,112924.3242,1.503860984,2.181357755,4.551355276,3.707317148,NA,2.361205119,-0.857344135,2.465199368
93,Austria,01.01.73,2.086478143,35912.7,3052056,67166.35,140141.1212,113824.218,1.176672381,2.200691927,4.591695605,3.729427571,NA,2.094830403,-0.918158023,3.169469796
94,Austria,01.04.73,2.086478143,41754.78,3034967,65630.26,136936.103,111911.0284,1.375790247,2.1624703,4.511947016,3.687388639,NA,2.252348403,-0.876558155,2.680196815
95,Austria,01.07.73,2.086478143,44450.09,3049981,65967.22,137639.1627,112330.7097,1.457389079,2.162873146,4.512787544,3.682997033,NA,2.316799442,-0.859410363,2.527119962
96,Austria,01.10.73,2.086478143,43189.1,3034139,65475.84,136613.909,111718.6993,1.423438412,2.157971009,4.502559343,3.682056073,NA,2.289362367,-0.865923955,2.586733674
97,Austria,01.01.74,2.086478143,40209.52,3045277,61314.27,127930.8842,106535.4923,1.320389574,2.013421768,4.20096051,3.498384295,NA,2.149239435,-0.828849861,2.649509178
98,Austria,01.04.74,2.086478143,42232.72,3081979,60329.6,125876.3918,105309.0925,1.370311738,1.957495492,4.084271559,3.416930892,NA,2.163853163,-0.793541425,2.493542745
99,Austria,01.07.74,2.086478143,41608.95,3044052,58000.77,121017.3389,102408.5507,1.366893535,1.905380394,3.975534546,3.364218177,NA,2.144417888,-0.777524352,2.461214491
100,Austria,01.10.74,2.086478143,41171.81,3031438,50752.36,105893.6898,93380.70556,1.358161044,1.674200825,3.493183428,3.080409547,NA,2.045407599,-0.687246555,2.268073849
101,Austria,01.01.75,2.086478143,46508.11,3021724,40703.95,84927.902,80865.47956,1.539125016,1.347043939,2.810577736,2.676137184,NA,2.029509716,-0.4903847,1.73873932
102,Austria,01.04.75,2.086478143,56324.07,2991508,31629.8,65994.88636,69563.68773,1.882798575,1.057319586,2.206074206,2.325371944,NA,2.092416541,-0.209617966,1.235061453
103,Austria,01.07.75,2.086478143,57104.42,2974465,28286.86,59019.91512,65400.0788,1.919821548,0.950989842,1.984219519,2.198717376,NA,2.054542527,-0.134720979,1.145271746
104,Austria,01.10.75,2.086478143,61920.73,2993719,24215.4,50524.90282,60329.10319,2.068354779,0.808873512,1.687696902,2.015189241,NA,2.041598956,0.026755823,0.974295736
105,Austria,01.01.76,2.086478143,64051.26,2981482,25692.73,53607.31957,62169.10761,2.148302757,0.861743589,1.798009164,2.085174675,NA,2.116503367,0.03179939,0.970614905
106,Austria,01.04.76,2.086478143,54501.69,3009288,28910.54,60321.2098,66176.86798,1.811115786,0.960710308,2.004501058,2.199087225,NA,1.995695765,-0.18457998,1.214216807
107,Austria,01.07.76,2.086478143,52813.73,2996569,30507.3,63652.81464,68165.62165,1.762473349,1.018074338,2.124189853,2.274788989,NA,2.002312405,-0.239839056,1.290679936
108,Austria,01.10.76,2.086478143,49660.65,3015725,32353.09,67504.01513,70464.54049,1.646723425,1.072813005,2.238400886,2.336570493,NA,1.961551774,-0.31482835,1.418921027
109,Austria,01.01.77,2.086478143,48442.04,3023110,32523.65,67859.88485,70676.9718,1.602390915,1.075834158,2.244704455,2.337889518,NA,1.935513607,-0.333122692,1.459000732
110,Austria,01.04.77,2.086478143,49552.15,3036588,33053.99,68966.42766,71337.50665,1.631836456,1.088524028,2.271181591,2.349265249,NA,1.957962379,-0.326125923,1.439645034
111,Austria,01.07.77,2.086478143,52305.75,3052314,32192.95,67169.88652,70265.08721,1.713642502,1.054706364,2.200621775,2.30202683,NA,1.986164902,-0.2725224,1.34335302
112,Austria,01.10.77,2.086478143,54360.06,3039925,30773.09,64207.37967,68496.66128,1.788203985,1.012297672,2.112136966,2.253235237,NA,2.007297743,-0.219093758,1.260054924
113,Austria,01.01.78,2.086478143,55957.69,3074842,29878.05,62339.89827,67381.89508,1.819855784,0.97169383,2.027417938,2.191393739,NA,1.997002897,-0.177147113,1.204157911
114,Austria,01.04.78,2.086478143,59299.42,3060917,29963.1,62517.35324,67487.82427,1.937308983,0.978892927,2.042438695,2.204823727,NA,2.066742561,-0.129433578,1.13808574
115,Austria,01.07.78,2.086478143,59773.72,3092350,28491.2,59446.26606,65654.58288,1.932954549,0.921344608,1.922365387,2.123129105,NA,2.025811458,-0.092856909,1.098385426
116,Austria,01.10.78,2.086478143,59250.83,3086903,29287.99,61108.75098,66646.97938,1.919426364,0.948782323,1.97961358,2.159024089,NA,2.035703258,-0.116276895,1.124827777
117,Austria,01.01.79,2.086478143,57674.8,3086608,28450.4,59361.13775,65603.76676,1.868549553,0.921736741,1.923183564,2.125432409,NA,1.992856186,-0.124306633,1.137477144
118,Austria,01.04.79,2.086478143,59008.26,3115787,29807.99,62193.71961,67294.63583,1.893847686,0.956676114,1.996083802,2.15979577,NA,2.022454999,-0.128607313,1.140427388
119,Austria,01.07.79,2.086478143,58171.29,3130632,31600.4,65933.5439,69527.07023,1.858132479,1.00939363,2.106077747,2.220863718,NA,2.031417979,-0.1732855,1.195212797
120,Austria,01.10.79,2.086478143,52020.31,3128240,35581.54,74240.10549,74485.5529,1.662925799,1.137429993,2.373222818,2.381069001,NA,1.98985956,-0.326933762,1.431855229
121,Austria,01.01.80,2.086478143,45959.75,3134209,37845.88,78964.60141,77305.7729,1.466390723,1.207509774,2.51944275,2.466516206,NA,1.901808739,-0.435418017,1.682032059
122,Austria,01.04.80,2.086478143,53108.93,3140170,36612.44,76391.05581,75769.53181,1.691275632,1.16593815,2.432704465,2.412911779,NA,2.020123485,-0.328847853,1.426681573
123,Austria,01.07.80,2.086478143,57034.59,3102111,36886.91,76963.73147,76111.38232,1.838573475,1.18909059,2.481011526,2.453535103,NA,2.123912559,-0.285339085,1.334477592
124,Austria,01.10.80,2.086478143,56540.39,3137795,34535.78,72058.15011,73183.06597,1.80191472,1.100638506,2.296458185,2.332308706,NA,2.050029607,-0.248114887,1.294350215
125,Austria,01.01.81,2.086478143,55697.31,3156290,29755.35,62083.8874,67229.07307,1.764644884,0.942731815,1.966989326,2.130003044,NA,1.938736437,-0.174091554,1.207043447
126,Austria,01.04.81,2.086478143,63811.14,3171998,27368.58,57103.94397,64256.36734,2.011701773,0.862818325,1.800251575,2.025737952,NA,2.018707663,-0.007005891,1.006977267
127,Austria,01.07.81,2.086478143,73153.38,3173583,24290.34,50681.26349,60422.44045,2.305072216,0.765391672,1.596972995,1.903918708,NA,2.0949153,0.210156916,0.825969223
128,Austria,01.10.81,2.086478143,84516.16,3179328,19866.06,41450.09997,54912.02994,2.658302635,0.624850912,1.30373777,1.727158379,NA,2.142734157,0.515568478,0.649722254
129,Austria,01.01.82,2.086478143,97652.52,3308051,20175.32,42095.3642,55297.21116,2.951965372,0.609885398,1.272512552,1.67159488,NA,2.221371244,0.730594128,0.566265071
130,Austria,01.04.82,2.086478143,98389.56,3291560,18488.59,38576.03892,53196.40047,2.989146788,0.561696885,1.171968274,1.61614555,NA,2.197929999,0.791216789,0.54067119
131,Austria,01.07.82,2.086478143,105997.8,3310063,15145.18,31600.08704,49032.20616,3.202289503,0.4575496,0.954667239,1.481307339,NA,2.177974964,1.024314539,0.462577583
132,Austria,01.10.82,2.086478143,119344.5,3305731,15293.25,31909.03186,49216.62633,3.610230233,0.462628387,0.965264017,1.488827322,NA,2.318406654,1.29182358,0.41239124
133,Austria,01.01.83,2.086478143,126109.5,3290156,14217.63,29664.77424,47876.94897,3.832933758,0.432126319,0.901622119,1.455157414,NA,2.361677788,1.471255969,0.379645855
134,Austria,01.04.83,2.086478143,128996.1,3309076,15098.1,31501.85565,48973.56834,3.898251355,0.456263319,0.951983443,1.47997714,NA,2.401941483,1.496309871,0.379651542
135,Austria,01.07.83,2.086478143,126340.3,3292619,15253.35,31825.78138,49166.93115,3.8370762,0.463258883,0.966579534,1.4932469,NA,2.393679624,1.443396576,0.389162691
136,Austria,01.10.83,2.086478143,128056.8,3286136,16156.25,33709.66249,50291.48693,3.896880713,0.491648854,1.025814589,1.530414047,NA,2.44209766,1.454783053,0.392727969
137,Austria,01.01.84,2.086478143,131409.6,3353465,16338.34,34089.5893,50518.27878,3.918621486,0.487207709,1.016548236,1.506450158,NA,2.429651818,1.488969668,0.3844337
138,Austria,01.04.84,2.086478143,130242.5,3351519,16767.28,34984.56323,51052.52062,3.886073747,0.500288973,1.043842008,1.523265141,NA,2.433006509,1.453067238,0.391980503
139,Austria,01.07.84,2.086478143,130812.9,3372768,16819.16,35092.80972,51117.13681,3.878502761,0.498675272,1.040475055,1.515584138,NA,2.424499384,1.454003377,0.390765259
140,Austria,01.10.84,2.086478143,129412.4,3372584,18737.23,39094.82085,53506.07989,3.83718834,0.555574895,1.159194874,1.58650103,NA,2.467327147,1.369861192,0.413454042
141,Austria,01.01.85,2.086478143,138251.4,3352329,20674.96,43137.85214,55919.50936,4.124040331,0.616734217,1.286802463,1.668079397,NA,2.622827998,1.501212333,0.404476984
142,Austria,01.04.85,2.086478143,137379.9,3364353,21694.31,45264.70364,57189.10282,4.083397313,0.64482859,1.345420758,1.69985441,NA,2.634612102,1.448785211,0.416284353
143,Austria,01.07.85,2.086478143,138284.4,3341651,23341.01,48700.50719,59240.05642,4.138205935,0.698487364,1.457378619,1.77277808,NA,2.708527417,1.429678518,0.428392909
144,Austria,01.10.85,2.086478143,143870.7,3361417,23381.06,48784.07064,59289.93842,4.280061058,0.69557154,1.451294815,1.763837644,NA,2.747604923,1.532456135,0.41210572
145,Austria,01.01.86,2.086478143,146616.3,3365848,23554.99,49146.97179,59506.56705,4.355998845,0.699823343,1.460166109,1.767951703,NA,2.775102805,1.58089604,0.405865972
146,Austria,01.04.86,2.086478143,148096.9,3377248,23681.17,49410.2436,59663.72338,4.385135471,0.701197247,1.46303273,1.766637315,NA,2.783333245,1.601802226,0.402869495
147,Austria,01.07.86,2.086478143,153138,3398435,25642.32,53502.14021,62106.3223,4.50613297,0.75453319,1.574317008,1.827497725,NA,2.869659867,1.636473103,0.405557878
148,Austria,01.10.86,2.086478143,160036.1,3393648,25892.19,54023.4885,62417.53368,4.715754256,0.76296039,1.591900177,1.839245958,NA,2.945069092,1.770685164,0.390021587
149,Austria,01.01.87,2.086478143,171582.9,3414067,26270.79,54813.42913,62889.07739,5.025762529,0.769486656,1.605517089,1.842057505,NA,3.042654036,1.983108493,0.366522989
150,Austria,01.04.87,2.086478143,163662.9,3420495,27105.46,56554.94984,63928.65318,4.784772379,0.792442614,1.653414194,1.868988353,NA,2.990432051,1.794340329,0.390611759
151,Austria,01.07.87,2.086478143,160746,3440702,26644.11,55592.35315,63354.0449,4.671895445,0.774380054,1.615727056,1.841311596,NA,2.932987429,1.738908016,0.394125172
152,Austria,01.10.87,2.086478143,161879.8,3432147,27324.31,57011.57558,64201.22936,4.716575368,0.796128779,1.661105296,1.87058507,NA,2.970312351,1.746263017,0.396598151
153,Austria,01.01.88,2.086478143,163101.2,3436479,28559.04,59587.81274,65739.07713,4.746171881,0.831055275,1.733978666,1.912977706,NA,3.013191165,1.732980716,0.40305698
154,Austria,01.04.88,2.086478143,159914.8,3418266,28872.67,60242.19488,66129.70116,4.678243296,0.844658374,1.762361235,1.934597868,NA,3.008408135,1.669835161,0.413530837
155,Austria,01.07.88,2.086478143,157472.7,3425214,31917.24,66594.62364,69921.69229,4.597455809,0.931831996,1.944247093,2.041381715,NA,3.063521213,1.533934596,0.444024217
156,Austria,01.10.88,2.086478143,154036.6,3440375,35387.38,73834.9949,74243.72795,4.47732006,1.028590779,2.146132177,2.158012657,NA,3.108394016,1.368926044,0.481987579
157,Austria,01.01.89,2.086478143,145237.1,3430346,38606.04,80550.65864,78252.54699,4.233890692,1.125426998,2.348178832,2.28118525,NA,3.107778789,1.126111904,0.53879172
158,Austria,01.04.89,2.086478143,149242,3451513,42740.79,89177.72414,83402.34986,4.323958797,1.238320412,2.583728473,2.416399702,NA,3.232400463,1.091558335,0.558839669
159,Austria,01.07.89,2.086478143,151067.9,3460237,47674.93,99472.6994,89547.78752,4.365825231,1.377793775,2.874736598,2.58790908,NA,3.361303134,1.004522097,0.592765157
160,Austria,01.10.89,2.086478143,151160,3458932,53372.91,111361.4101,96644.58268,4.370135059,1.543045946,3.219531639,2.794058475,NA,3.494340123,0.875794936,0.639352889
161,Austria,01.01.90,2.086478143,149759.5,3502508,55813.52,116453.6895,99684.34576,4.275778956,1.593530122,3.324865769,2.846084741,NA,3.488442238,0.787336719,0.665629531
162,Austria,01.04.90,2.086478143,162474.1,3506548,57868.29,120740.9222,102243.5478,4.633448622,1.650292253,3.443298715,2.915789196,NA,3.675616878,0.957831744,0.629291362
163,Austria,01.07.90,2.086478143,173569.7,3536178,55949.41,116737.2211,99853.59582,4.908398276,1.582200048,3.301225817,2.823771762,NA,3.722928478,1.185469799,0.575293936
164,Austria,01.10.90,2.086478143,177376,3565814,52854.78,110280.3432,95999.2553,4.974348073,1.482264078,3.0927116,2.69221152,NA,3.65950778,1.314840294,0.541218966
165,Austria,01.01.91,2.086478143,182180.6,3587854,50930.84,106266.0845,93603.00118,5.077703831,1.419534909,2.96182856,2.608885456,NA,3.639663126,1.438040705,0.513792364
166,Austria,01.04.91,2.086478143,185333.8,3583367,48661.11,101530.3424,90776.06797,5.172057453,1.357971706,2.833378284,2.533261817,NA,3.619692758,1.552364695,0.489797695
167,Austria,01.07.91,2.086478143,185926.2,3594617,48899.76,102028.2804,91073.30492,5.172350768,1.360360784,2.838363042,2.533602465,NA,3.620038764,1.552312004,0.489835778
168,Austria,01.10.91,2.086478143,186674.4,3624403,49298.63,102860.514,91570.09478,5.150486853,1.360186215,2.837998809,2.526487666,NA,3.607303911,1.543182941,0.490533757
169,Austria,01.01.92,2.086478143,184720.7,3651537,48233.25,100637.6219,90243.17126,5.058710894,1.320902677,2.756034565,2.471374965,NA,3.535812701,1.522898192,0.488538487
170,Austria,01.04.92,2.086478143,188070.4,3675845,45431.59,94792.01952,86753.72288,5.116385484,1.235949557,2.578781737,2.360102857,NA,3.474938273,1.641447211,0.461283237
171,Austria,01.07.92,2.086478143,194502.9,3689828,43227.54,90193.31737,84008.59366,5.27132701,1.171532657,2.444377282,2.27676178,NA,3.464326178,1.807000832,0.43191435
172,Austria,01.10.92,2.086478143,205099.3,3687252,39610.95,82647.38139,79504.15553,5.562389009,1.074267503,2.241435665,2.156189909,NA,3.463172974,2.099216035,0.387637381
173,Austria,01.01.93,2.086478143,216250.1,3686072,35207.25,73459.15759,74019.37727,5.866681389,0.955142764,1.992884501,2.008082785,NA,3.432314365,2.434367024,0.342285979
174,Austria,01.04.93,2.086478143,222683.3,3733741,34346.04,71662.26175,72946.74609,5.964079994,0.919882766,1.919315286,1.95371736,NA,3.413521147,2.550558847,0.327580677
